title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year,decade,na_pct,jp_pct,pal_pct,other_pct,sales_tier,,,
Destiny 2,PS4,Shooter,Activision,7.3,4.14,1.92,0.1,1.44,0.69,2017,2010,46.4,2.4,34.8,16.7,Hit (1ƒ??5M),,,
Assassin's Creed: Unity,PS4,Action,Ubisoft,7.3,4.14,1.25,0.09,2.16,0.65,2014,2010,30.2,2.2,52.2,15.7,Hit (1ƒ??5M),,,
FIFA 07 Soccer,PS2,Sports,EA Sports,8.4,4.11,0.71,0.03,2.48,0.89,2006,2000,17.3,0.7,60.3,21.7,Hit (1ƒ??5M),,,
Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,8.1,4.11,1.65,0.11,1.68,0.66,2015,2010,40.1,2.7,40.9,16.1,Hit (1ƒ??5M),,,
The Sims 4,PC,Simulation,Electronic Arts,7,4.1,1.2,0,2.6,0.3,2014,2010,29.3,0,63.4,7.3,Hit (1ƒ??5M),,,
Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,8.2,4.08,2.67,0.04,1.03,0.34,2010,2010,65.4,1,25.2,8.3,Hit (1ƒ??5M),,,
Far Cry 4,PS4,Shooter,Ubisoft,8.4,4.06,1.18,0.11,2.14,0.63,2014,2010,29.1,2.7,52.7,15.5,Hit (1ƒ??5M),,,
Assassin's Creed Origins,PS4,Action,Ubisoft,7.3,4.06,1.22,0.11,2.11,0.63,2017,2010,30,2.7,52,15.5,Hit (1ƒ??5M),,,
Carnival Games,Wii,Misc,Global Star Software,4.2,4.06,2.12,0.05,1.47,0.42,2007,2000,52.2,1.2,36.2,10.3,Hit (1ƒ??5M),,,
World Soccer Winning Eleven 9,PS2,Sports,Konami,8.9,4.06,0.12,0.9,2.26,0.77,2006,2000,3,22.2,55.7,19,Hit (1ƒ??5M),,,
Tekken Tag Tournament,PS2,Fighting,Namco,8.7,4.05,1.68,0.51,1.51,0.35,2000,2000,41.5,12.6,37.3,8.6,Hit (1ƒ??5M),,,
Namco Museum Vol.3,PS,Misc,Namco,7.3,4.05,2.28,0.16,1.55,0.06,1997,1990,56.3,4,38.3,1.5,Hit (1ƒ??5M),,,
Forza Motorsport 2,X360,Racing,Microsoft Game Studios,9.1,4.05,2.35,0.03,1.27,0.41,2007,2000,58,0.7,31.4,10.1,Hit (1ƒ??5M),,,
Fallout 3,PS3,Role-Playing,Bethesda Softworks,8.8,4,2.18,0.07,1.15,0.61,2008,2000,54.5,1.8,28.7,15.2,Hit (1ƒ??5M),,,
The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,9.2,3.99,1.18,0,2.25,0.56,2011,2010,29.6,0,56.4,14,Hit (1ƒ??5M),,,
Namco Museum: 50th Anniversary,PS2,Misc,Namco,7.3,3.98,2.08,0,1.35,0.54,2005,2000,52.3,0,33.9,13.6,Hit (1ƒ??5M),,,
NBA 2K16,PS4,Sports,2K Sports,8.7,3.98,2.56,0.05,0.66,0.71,2015,2010,64.3,1.3,16.6,17.8,Hit (1ƒ??5M),,,
Far Cry 5,PS4,Action,Ubisoft,7.9,3.95,1.44,0.15,1.73,0.62,2018,2010,36.5,3.8,43.8,15.7,Hit (1ƒ??5M),,,
Battlefield 4,PS4,Shooter,Electronic Arts,8.3,3.94,1.4,0.19,1.74,0.62,2013,2010,35.5,4.8,44.2,15.7,Hit (1ƒ??5M),,,
Assassin's Creed IV: Black Flag,PS3,Action-Adventure,Ubisoft,8.7,3.94,1.34,0.13,1.86,0.62,2013,2010,34,3.3,47.2,15.7,Hit (1ƒ??5M),,,
Tony Hawk's Underground,PS2,Sports,Activision,8.7,3.9,2.29,0.01,1.17,0.42,2003,2000,58.7,0.3,30,10.8,Hit (1ƒ??5M),,,
Just Dance 2014,Wii,Music,Ubisoft,7.4,3.89,1.91,0,1.66,0.33,2013,2010,49.1,0,42.7,8.5,Hit (1ƒ??5M),,,
Sports Champions,PS3,Sports,Sony Computer Entertainment,7.6,3.88,2.15,0.1,1.13,0.5,2010,2010,55.4,2.6,29.1,12.9,Hit (1ƒ??5M),,,
World Soccer Winning Eleven 8 International,PS2,Sports,Konami,9.3,3.85,0.16,1.12,1.89,0.68,2005,2000,4.2,29.1,49.1,17.7,Hit (1ƒ??5M),,,
Namco Museum Vol.1,PS,Misc,Namco,7.3,3.84,2.12,0.22,1.44,0.06,1996,1990,55.2,5.7,37.5,1.6,Hit (1ƒ??5M),,,
LEGO Indiana Jones: The Original Adventures,X360,Adventure,LucasArts,7.5,3.76,2.4,0,1.01,0.36,2008,2000,63.8,0,26.9,9.6,Hit (1ƒ??5M),,,
The Sims: Unleashed,PC,Simulation,Electronic Arts,7.3,3.76,2.03,0,1.56,0.17,2002,2000,54,0,41.5,4.5,Hit (1ƒ??5M),,,
Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment,8.5,3.75,1.4,0.1,1.4,0.86,2007,2000,37.3,2.7,37.3,22.9,Hit (1ƒ??5M),,,
FIFA 17,XOne,Sports,Electronic Arts,8.8,3.71,1.04,0,2.4,0.27,2016,2010,28,0,64.7,7.3,Hit (1ƒ??5M),,,
FIFA Soccer 2005,PS2,Sports,EA Sports,8.4,3.7,0.58,0.04,2.48,0.59,2004,2000,15.7,1.1,67,15.9,Hit (1ƒ??5M),,,
Tony Hawk's Pro Skater 4,PS2,Sports,Activision,9.6,3.67,2.13,0.01,1.18,0.35,2002,2000,58,0.3,32.2,9.5,Hit (1ƒ??5M),,,
Midnight Club 3: DUB Edition,PSP,Racing,Rockstar Games,7.2,3.66,1.65,0,1.22,0.79,2005,2000,45.1,0,33.3,21.6,Hit (1ƒ??5M),,,
MySims,DS,Simulation,Electronic Arts,6.7,3.66,1.58,0.08,1.6,0.4,2007,2000,43.2,2.2,43.7,10.9,Hit (1ƒ??5M),,,
SOCOM: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,8,3.65,2.53,0.06,0.81,0.24,2002,2000,69.3,1.6,22.2,6.6,Hit (1ƒ??5M),,,
Battlefield 4,PS3,Shooter,Electronic Arts,8.7,3.64,1.31,0.27,1.5,0.55,2013,2010,36,7.4,41.2,15.1,Hit (1ƒ??5M),,,
Jak and Daxter: The Precursor Legacy,PS2,Platform,Sony Computer Entertainment,9,3.64,2.08,0.15,1.09,0.33,2001,2000,57.1,4.1,29.9,9.1,Hit (1ƒ??5M),,,
FIFA Soccer 10,PS3,Sports,EA Sports,9,3.63,0.6,0.05,2.46,0.52,2009,2000,16.5,1.4,67.8,14.3,Hit (1ƒ??5M),,,
Pro Evolution Soccer 2008,PS2,Sports,Konami,8.2,3.63,0.05,0.64,0,2.93,2008,2000,1.4,17.6,0,80.7,Hit (1ƒ??5M),,,
Guitar Hero: World Tour,Wii,Misc,Activision,8.4,3.62,2.32,0,0.96,0.34,2008,2000,64.1,0,26.5,9.4,Hit (1ƒ??5M),,,
Star Wars Battlefront,PS2,Shooter,LucasArts,8.1,3.61,1.93,0.03,1.22,0.44,2004,2000,53.5,0.8,33.8,12.2,Hit (1ƒ??5M),,,
The Simpsons: Road Rage,PS2,Racing,Electronic Arts,6.1,3.61,2.02,0,1.17,0.42,2001,2000,56,0,32.4,11.6,Hit (1ƒ??5M),,,
Doom II,PC,Shooter,GT Interactive,9.3,3.61,2.05,0,1.4,0.16,1994,1990,56.8,0,38.8,4.4,Hit (1ƒ??5M),,,
Assassin's Creed Syndicate,PS4,Action,Ubisoft,8.6,3.6,0.9,0.08,2.06,0.55,2015,2010,25,2.2,57.2,15.3,Hit (1ƒ??5M),,,
Star Wars Battlefront II,PS2,Shooter,LucasArts,8.5,3.59,2.18,0.03,1.02,0.37,2005,2000,60.7,0.8,28.4,10.3,Hit (1ƒ??5M),,,
Cooking Mama 2: Dinner With Friends,DS,Simulation,Majesco,6.9,3.58,1.6,0.1,1.49,0.39,2007,2000,44.7,2.8,41.6,10.9,Hit (1ƒ??5M),,,
WWF SmackDown!,PS,Fighting,THQ,7.3,3.58,2.01,0.06,1.35,0.16,2000,2000,56.1,1.7,37.7,4.5,Hit (1ƒ??5M),,,
Assassin's Creed: Unity,XOne,Action,Ubisoft,7.3,3.58,2.34,0,0.9,0.34,2014,2010,65.4,0,25.1,9.5,Hit (1ƒ??5M),,,
Tomb Raider III: Adventures of Lara Croft,PS,Adventure,Eidos Interactive,8.2,3.54,1.66,0.12,1.58,0.18,1998,1990,46.9,3.4,44.6,5.1,Hit (1ƒ??5M),,,
The Getaway,PS2,Action,Sony Computer Entertainment,7.7,3.54,1.23,0.05,1.77,0.49,2003,2000,34.7,1.4,50,13.8,Hit (1ƒ??5M),,,
Batman: Arkham Asylum,X360,Action,Eidos Interactive,9.1,3.54,2.24,0.02,0.95,0.33,2009,2000,63.3,0.6,26.8,9.3,Hit (1ƒ??5M),,,
Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,8.3,3.54,1.56,0.07,1.4,0.5,2006,2000,44.1,2,39.5,14.1,Hit (1ƒ??5M),,,
Battlefield 4,X360,Shooter,Electronic Arts,8.7,3.54,2.16,0.02,1.05,0.32,2013,2010,61,0.6,29.7,9,Hit (1ƒ??5M),,,
